instance,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
instances/few close to zero\instance_0,5,False,False,253.0,253,0.0596,0.001
instances/few close to zero\instance_1,6,False,False,227.0,227,0.0066,0.001
instances/few close to zero\instance_2,7,False,False,263.0,263,0.0033,0.0009
instances/few close to zero\instance_3,8,False,False,405.0,405,0.0272,0.001
instances/few close to zero\instance_4,8,False,False,641.0,641,0.0897,0.0011
instances/few close to zero\instance_5,10,False,False,503.0,503,0.0052,0.0036
instances/few close to zero\instance_6,11,False,False,705.0,705,0.0161,0.0016
instances/few close to zero\instance_7,12,False,False,855.0,855,0.1061,0.0018
instances/few close to zero\instance_8,13,False,False,993.0,993,0.0272,0.0022
instances/few close to zero\instance_9,13,False,False,694.0,694,0.0125,0.0022
