instance,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
instances/few far from zero\instance_0,5,False,False,505.0,505,0.0253,0.001
instances/few far from zero\instance_1,6,False,False,726.0,726,0.0364,0.001
instances/few far from zero\instance_2,7,False,False,748.0,748,0.0673,0.0009
instances/few far from zero\instance_3,8,False,False,661.0,661,0.0118,0.006
instances/few far from zero\instance_4,9,False,False,1088.0,1088,0.0837,0.0025
instances/few far from zero\instance_5,10,False,False,1106.0,1106,0.0172,0.0059
instances/few far from zero\instance_6,11,False,False,1173.0,1173,0.166,0.0044
instances/few far from zero\instance_7,12,False,False,1632.0,1632,0.589,0.0067
instances/few far from zero\instance_8,13,False,False,1629.0,1629,4.2053,0.0146
instances/few far from zero\instance_9,14,False,False,1766.0,1766,1.923,0.0119
