instance,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
instances/few high variance\instance_F_HH_0,10,False,False,1623.0,1623,0.3006,0.0015
instances/few high variance\instance_F_HH_1,12,False,False,1611.0,1611,0.0387,0.0047
instances/few high variance\instance_F_HH_2,14,False,False,2401.0,2401,0.0221,0.0079
instances/few high variance\instance_F_HH_3,16,False,False,3220.0,3220,1.0469,0.0036
instances/few high variance\instance_F_HH_4,18,False,False,3021.0,3021,1.2371,0.0215
instances/few high variance\instance_F_HH_5,18,False,False,3313.0,3313,1.6926,0.0223
instances/few high variance\instance_F_HH_6,22,True,False,5506.0,5506,60.0023,0.0245
instances/few high variance\instance_F_HH_7,24,True,False,6223.0,6223,60.0085,0.0578
instances/few high variance\instance_F_HH_8,26,False,False,8056.0,8056,15.5263,0.0523
instances/few high variance\instance_F_HH_9,28,True,False,7078.0,7078,60.016,0.0419
instances/few high variance\instance_F_HU_0,10,False,False,751.0,751,0.1215,0.0111
instances/few high variance\instance_F_HU_1,11,False,False,966.0,966,0.2626,0.0078
instances/few high variance\instance_F_HU_2,14,False,False,1649.0,1649,5.4287,0.0067
instances/few high variance\instance_F_HU_3,16,False,False,1910.0,1910,15.5853,0.0349
instances/few high variance\instance_F_HU_4,17,False,False,1964.0,1964,0.6408,0.0387
instances/few high variance\instance_F_HU_5,20,True,True,2717.0,inf,60.0287,60.0
instances/few high variance\instance_F_HU_6,21,False,False,3384.0,3384,0.2185,0.0484
instances/few high variance\instance_F_HU_7,23,True,False,3364.0,3364,60.0076,3.0124
instances/few high variance\instance_F_HU_8,24,False,False,2670.0,2670,0.4829,0.4009
instances/few high variance\instance_F_HU_9,27,True,False,3865.0,3865,60.0059,0.946
instances/few high variance\instance_F_UH_0,10,False,False,1431.0,1431,0.2717,0.0022
instances/few high variance\instance_F_UH_1,12,False,False,1340.0,1340,0.4436,0.0043
instances/few high variance\instance_F_UH_2,14,False,False,2315.0,2315,0.0337,0.0042
instances/few high variance\instance_F_UH_3,16,False,False,3278.0,3278,11.5764,0.0058
instances/few high variance\instance_F_UH_4,18,False,False,2846.0,2846,0.1174,0.0248
instances/few high variance\instance_F_UH_5,19,False,False,3773.0,3773,56.5858,0.0129
instances/few high variance\instance_F_UH_6,22,False,False,4789.0,4789,9.0506,0.0369
instances/few high variance\instance_F_UH_7,23,True,False,5293.0,5293,60.0026,0.033
instances/few high variance\instance_F_UH_8,26,True,False,7027.0,7027,60.0032,0.0188
instances/few high variance\instance_F_UH_9,26,True,False,6738.0,6738,60.0152,0.0279
