instance,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
instances/few low variance\instance_F_HL_0,10,False,False,865.0,865,1.0233,0.0082
instances/few low variance\instance_F_HL_1,12,False,False,1218.0,1218,0.0601,0.0087
instances/few low variance\instance_F_HL_2,14,False,False,1552.0,1552,2.796,0.0164
instances/few low variance\instance_F_HL_3,16,False,False,1973.0,1973,1.7076,0.0122
instances/few low variance\instance_F_HL_4,18,False,False,2425.0,2425,0.0684,0.0179
instances/few low variance\instance_F_HL_5,20,False,False,3000.0,3000,0.0713,0.0611
instances/few low variance\instance_F_HL_6,22,False,False,3826.0,3826,59.9955,0.1227
instances/few low variance\instance_F_HL_7,23,False,False,4012.0,4012,0.1725,0.0333
instances/few low variance\instance_F_HL_8,26,False,False,5027.0,5027,4.9667,0.0882
instances/few low variance\instance_F_HL_9,27,True,False,5444.0,5444,60.0069,0.159
instances/few low variance\instance_F_LH_0,10,False,False,1250.0,1250,0.0135,0.0016
instances/few low variance\instance_F_LH_1,12,False,False,1648.0,1648,0.0405,0.003
instances/few low variance\instance_F_LH_2,14,False,False,2376.0,2376,2.7637,0.0028
instances/few low variance\instance_F_LH_3,16,False,False,2877.0,2877,0.0216,0.004
instances/few low variance\instance_F_LH_4,18,False,False,3380.0,3380,1.4641,0.0045
instances/few low variance\instance_F_LH_5,20,False,False,4558.0,4558,29.4464,0.0055
instances/few low variance\instance_F_LH_6,22,False,False,5466.0,5466,1.2081,0.0065
instances/few low variance\instance_F_LH_7,24,False,False,6339.0,6339,11.2455,0.008
instances/few low variance\instance_F_LH_8,26,True,False,7326.0,7326,60.0075,0.0095
instances/few low variance\instance_F_LH_9,27,True,False,8019.0,8019,60.0067,0.0202
instances/few low variance\instance_F_LL_0,10,False,False,888.0,888,0.0503,0.0015
instances/few low variance\instance_F_LL_1,12,False,False,1252.0,1252,1.9096,0.0036
instances/few low variance\instance_F_LL_2,14,False,False,1729.0,1729,0.0269,0.0054
instances/few low variance\instance_F_LL_3,16,False,False,2110.0,2110,0.037,0.0044
instances/few low variance\instance_F_LL_4,18,False,False,2528.0,2528,0.0316,0.0067
instances/few low variance\instance_F_LL_5,20,False,False,3270.0,3270,0.0407,0.006
instances/few low variance\instance_F_LL_6,22,False,False,3854.0,3854,0.175,0.0062
instances/few low variance\instance_F_LL_7,24,False,False,4527.0,4527,1.6075,0.0072
instances/few low variance\instance_F_LL_8,26,True,False,5395.0,5395,60.0098,0.0099
instances/few low variance\instance_F_LL_9,28,False,False,6047.0,6047,0.0788,0.011
instances/few low variance\instance_F_LU_0,9,False,False,592.0,592,0.0055,0.0015
instances/few low variance\instance_F_LU_1,12,False,False,715.0,715,0.5776,0.0019
instances/few low variance\instance_F_LU_2,14,False,False,1256.0,1256,0.9449,0.0028
instances/few low variance\instance_F_LU_3,14,False,False,1379.0,1379,0.0199,0.0047
instances/few low variance\instance_F_LU_4,17,False,False,1481.0,1481,0.0421,0.0038
instances/few low variance\instance_F_LU_5,19,False,False,2503.0,2503,0.1262,0.0085
instances/few low variance\instance_F_LU_6,20,False,False,2640.0,2640,7.7641,0.0234
instances/few low variance\instance_F_LU_7,24,False,False,3501.0,3501,27.4732,0.0101
instances/few low variance\instance_F_LU_8,25,False,False,3638.0,3638,0.0699,0.0086
instances/few low variance\instance_F_LU_9,28,False,False,5588.0,5588,0.0727,0.0302
instances/few low variance\instance_F_UL_0,10,False,False,821.0,821,0.0828,0.005
instances/few low variance\instance_F_UL_1,12,False,False,1178.0,1178,0.3257,0.0059
instances/few low variance\instance_F_UL_2,14,False,False,1463.0,1463,0.1663,0.0063
instances/few low variance\instance_F_UL_3,16,False,False,1893.0,1893,0.0237,0.0136
instances/few low variance\instance_F_UL_4,18,False,False,2348.0,2348,0.0367,0.0204
instances/few low variance\instance_F_UL_5,20,False,False,2917.0,2917,0.0352,0.0288
instances/few low variance\instance_F_UL_6,22,True,False,3650.0,3650,60.001,0.0182
instances/few low variance\instance_F_UL_7,24,False,False,4248.0,4248,59.9994,0.0573
instances/few low variance\instance_F_UL_8,26,False,False,4987.0,4987,2.2501,0.0348
instances/few low variance\instance_F_UL_9,28,True,False,5598.0,5598,60.0025,0.044
