instance,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
instances/many far from zero\instance_0,49,True,False,15603.0,15603,10.0125,5.8451
instances/many far from zero\instance_1,47,False,False,12521.0,12521,0.4452,3.0438
instances/many far from zero\instance_2,47,False,False,12789.0,12789,1.3853,3.8212
instances/many far from zero\instance_3,53,True,False,17526.0,17510,10.0185,3.8282
instances/many far from zero\instance_4,53,True,False,17051.0,16774,10.024,6.3462
instances/many far from zero\instance_5,55,True,False,19065.0,19065,10.03,7.3479
instances/many far from zero\instance_6,56,True,True,17836.0,17852,10.0207,10.0
instances/many far from zero\instance_7,55,False,True,14248.0,14313,9.9957,10.0
instances/many far from zero\instance_8,57,False,True,20265.0,20266,9.9978,10.0
instances/many far from zero\instance_9,56,True,False,20351.0,20351,10.0191,5.2157
