instance,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
instances/many high variance\instance_M_HH_0,48,True,False,23444.0,23186,10.0057,0.6296
instances/many high variance\instance_M_HH_1,50,True,False,25118.0,24846,10.0247,0.294
instances/many high variance\instance_M_HH_2,52,False,False,25064.0,25064,6.0689,1.2298
instances/many high variance\instance_M_HH_3,53,True,False,26264.0,25954,10.028,0.99
instances/many high variance\instance_M_HH_4,54,True,False,30141.0,29827,10.0304,0.5697
instances/many high variance\instance_M_HH_5,54,True,False,29005.0,29005,10.0275,1.5314
instances/many high variance\instance_M_HH_6,55,True,False,32636.0,32636,10.001,1.053
instances/many high variance\instance_M_HH_7,56,True,False,30213.0,29839,10.0191,0.5687
instances/many high variance\instance_M_HH_8,58,True,False,35572.0,35193,10.0262,1.2335
instances/many high variance\instance_M_HH_9,57,True,False,33574.0,33547,10.0108,0.9763
instances/many high variance\instance_M_HU_0,49,False,True,12983.0,13171,8.4633,10.0
instances/many high variance\instance_M_HU_1,48,True,True,12548.0,12491,10.006,10.0
instances/many high variance\instance_M_HU_2,50,True,True,14946.0,15302,10.0034,10.0
instances/many high variance\instance_M_HU_3,50,True,False,14524.0,14503,10.0226,5.5569
instances/many high variance\instance_M_HU_4,52,True,False,15500.0,15484,10.0067,3.7702
instances/many high variance\instance_M_HU_5,51,True,True,15204.0,15369,10.0042,10.0
instances/many high variance\instance_M_HU_6,53,True,True,15111.0,15059,10.0203,10.0
instances/many high variance\instance_M_HU_7,54,True,False,20537.0,20070,10.0196,4.7634
instances/many high variance\instance_M_HU_8,55,True,True,15597.0,15938,10.0074,10.0
instances/many high variance\instance_M_HU_9,54,True,False,16091.0,15998,10.0216,9.1745
instances/many high variance\instance_M_UH_0,49,False,False,24866.0,24866,0.3095,0.59
instances/many high variance\instance_M_UH_1,51,False,False,25532.0,25532,2.8825,0.3873
instances/many high variance\instance_M_UH_2,52,True,False,26340.0,26175,10.0221,0.2306
instances/many high variance\instance_M_UH_3,53,True,False,29643.0,29638,10.0067,0.3158
instances/many high variance\instance_M_UH_4,52,True,False,23357.0,23333,10.0195,0.524
instances/many high variance\instance_M_UH_5,55,True,False,28764.0,28613,10.0044,0.5819
instances/many high variance\instance_M_UH_6,55,False,False,28795.0,28795,0.7789,0.4425
instances/many high variance\instance_M_UH_7,57,True,False,31012.0,30969,10.0259,0.7066
instances/many high variance\instance_M_UH_8,58,True,False,31180.0,31119,10.014,1.631
instances/many high variance\instance_M_UH_9,58,True,False,31909.0,31886,10.0288,1.3948
