instance,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
instances/many low variance\instance_M_HL_0,50,False,False,18500.0,18400,9.9973,1.621
instances/many low variance\instance_M_HL_1,51,True,False,18742.0,18425,10.0092,4.6773
instances/many low variance\instance_M_HL_2,52,True,False,19495.0,19140,10.0322,0.5649
instances/many low variance\instance_M_HL_3,52,True,False,19822.0,19649,10.0046,0.868
instances/many low variance\instance_M_HL_4,54,True,False,20718.0,20718,10.0102,1.7713
instances/many low variance\instance_M_HL_5,55,True,False,21494.0,21472,10.0139,2.1006
instances/many low variance\instance_M_HL_6,56,True,False,22895.0,22803,10.0082,2.5203
instances/many low variance\instance_M_HL_7,57,True,False,23755.0,23418,10.0076,3.5573
instances/many low variance\instance_M_HL_8,58,False,False,23915.0,23915,0.7288,1.2043
instances/many low variance\instance_M_HL_9,59,True,False,24919.0,24728,10.0056,1.612
instances/many low variance\instance_M_LH_0,50,True,False,23725.0,23685,10.0019,0.044
instances/many low variance\instance_M_LH_1,51,True,False,25745.0,25715,10.0184,0.0475
instances/many low variance\instance_M_LH_2,52,True,False,28576.0,28504,10.012,0.0546
instances/many low variance\instance_M_LH_3,53,True,False,31505.0,31505,10.0063,0.0602
instances/many low variance\instance_M_LH_4,54,True,False,29732.0,29732,10.0073,0.0534
instances/many low variance\instance_M_LH_5,55,True,False,30544.0,30525,10.0132,0.0573
instances/many low variance\instance_M_LH_6,56,False,False,30035.0,29996,9.9958,0.0626
instances/many low variance\instance_M_LH_7,57,True,False,33821.0,33794,10.0138,0.0475
instances/many low variance\instance_M_LH_8,55,True,False,32446.0,32346,10.0259,0.0622
instances/many low variance\instance_M_LH_9,58,False,False,34734.0,34734,0.5052,0.1016
instances/many low variance\instance_M_LL_0,50,True,False,18753.0,18680,10.0506,0.0373
instances/many low variance\instance_M_LL_1,51,True,False,18958.0,18869,10.0172,0.047
instances/many low variance\instance_M_LL_2,52,True,False,19767.0,19752,10.0234,0.0482
instances/many low variance\instance_M_LL_3,53,False,False,20698.0,20698,6.2124,0.0398
instances/many low variance\instance_M_LL_4,54,False,False,21236.0,21236,0.5345,0.0398
instances/many low variance\instance_M_LL_5,55,True,False,22246.0,22174,10.0253,0.0425
instances/many low variance\instance_M_LL_6,56,True,False,23346.0,23238,10.0228,0.0471
instances/many low variance\instance_M_LL_7,57,True,False,23643.0,23630,10.0297,0.095
instances/many low variance\instance_M_LL_8,58,True,False,24643.0,24594,10.0273,0.0502
instances/many low variance\instance_M_LL_9,59,False,False,25485.0,25485,8.8802,0.0534
instances/many low variance\instance_M_LU_0,48,True,False,11533.0,11466,10.0163,0.0404
instances/many low variance\instance_M_LU_1,49,False,False,14563.0,14563,0.3152,0.0349
instances/many low variance\instance_M_LU_2,50,False,False,16729.0,16729,1.492,0.0366
instances/many low variance\instance_M_LU_3,52,True,False,20379.0,20312,10.0196,0.0479
instances/many low variance\instance_M_LU_4,52,False,False,13910.0,13910,0.3391,0.001
instances/many low variance\instance_M_LU_5,51,True,False,15916.0,15880,10.0165,0.0417
instances/many low variance\instance_M_LU_6,52,True,False,16168.0,16168,10.0096,0.0511
instances/many low variance\instance_M_LU_7,57,False,False,18610.0,18610,0.4582,0.0928
instances/many low variance\instance_M_LU_8,56,True,False,16630.0,16588,10.0082,0.0609
instances/many low variance\instance_M_LU_9,57,False,False,18026.0,18026,0.3858,0.176
instances/many low variance\instance_M_UL_0,50,False,False,17403.0,17403,1.1388,0.4731
instances/many low variance\instance_M_UL_1,51,True,False,18343.0,18330,10.0197,0.4015
instances/many low variance\instance_M_UL_2,52,False,False,19165.0,19164,0.728,0.3357
instances/many low variance\instance_M_UL_3,53,True,False,20724.0,20274,10.0196,0.3867
instances/many low variance\instance_M_UL_4,54,True,False,20583.0,20583,10.026,0.3877
instances/many low variance\instance_M_UL_5,55,True,False,21842.0,21763,10.0157,0.4926
instances/many low variance\instance_M_UL_6,56,True,False,22932.0,22386,10.0214,0.4709
instances/many low variance\instance_M_UL_7,57,True,False,23067.0,22827,10.0103,0.5379
instances/many low variance\instance_M_UL_8,58,True,False,24031.0,23983,10.0028,0.5548
instances/many low variance\instance_M_UL_9,59,True,False,24491.0,24444,10.0179,0.4798
