instance,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
instances/many uniform\instance_M_UU_0,98,True,False,61821.0,61439,60.014,25.717
instances/many uniform\instance_M_UU_1,106,True,True,60582.0,60434,60.0175,60.0
instances/many uniform\instance_M_UU_2,118,True,True,74589.0,74743,60.011,60.0
instances/many uniform\instance_M_UU_3,126,True,True,79999.0,80303,60.0274,60.0
instances/many uniform\instance_M_UU_4,137,True,True,inf,91694,60.025,60.0
instances/many uniform\instance_M_UU_5,142,False,True,120405.0,121412,25.3566,60.0
instances/many uniform\instance_M_UU_6,153,True,True,107512.0,108142,60.0318,60.0
instances/many uniform\instance_M_UU_7,164,True,True,134148.0,134290,60.0487,60.0
instances/many uniform\instance_M_UU_8,175,False,True,170216.0,170896,41.2596,60.0
instances/many uniform\instance_M_UU_9,182,True,True,178907.0,178991,60.265,60.0
