releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesCloseToZero,processingHighVariance,10,False,False,2647.0,2647,0.07,0.0017
releasesCloseToZero,processingHighVariance,11,False,False,3046.0,3046,0.024,0.0017
releasesCloseToZero,processingHighVariance,11,False,False,3209.0,3209,0.0217,0.0017
releasesCloseToZero,processingHighVariance,13,False,False,3396.0,3396,0.3577,0.0021
releasesCloseToZero,processingHighVariance,12,False,False,4527.0,4527,0.141,0.0019
releasesCloseToZero,processingHighVariance,15,False,False,5152.0,5152,0.0915,0.0053
releasesCloseToZero,processingHighVariance,15,False,False,4235.0,4235,1.3473,0.0042
releasesCloseToZero,processingHighVariance,14,False,False,4409.0,4409,0.0308,0.0032
releasesCloseToZero,processingHighVariance,18,False,False,7697.0,7697,2.1968,0.0044
releasesCloseToZero,processingHighVariance,19,False,False,11601.0,11601,0.076,0.005
releasesCloseToZero,processingHighVariance,2,False,False,163.0,163,0.0008,0.0005
releasesCloseToZero,processingHighVariance,20,False,False,11359.0,11359,13.7651,0.0071
releasesCloseToZero,processingHighVariance,19,False,False,9762.0,9762,0.0396,0.0045
releasesCloseToZero,processingHighVariance,22,False,False,10865.0,10865,0.853,0.0058
releasesCloseToZero,processingHighVariance,23,True,False,14936.0,14936,240.0,0.0074
releasesCloseToZero,processingHighVariance,23,False,False,13666.0,13666,0.0576,0.0065
releasesCloseToZero,processingHighVariance,25,False,False,14258.0,14258,31.9157,0.0185
releasesCloseToZero,processingHighVariance,25,False,False,13246.0,13246,5.0319,0.0086
releasesCloseToZero,processingHighVariance,27,False,False,16648.0,16648,0.1987,0.0146
releasesCloseToZero,processingHighVariance,28,False,False,19403.0,19403,8.9467,0.0148
releasesCloseToZero,processingHighVariance,29,True,False,21379.0,21379,240.0,0.0129
releasesCloseToZero,processingHighVariance,3,False,False,290.0,290,0.0018,0.0009
releasesCloseToZero,processingHighVariance,30,False,False,21516.0,21516,0.742,0.0151
releasesCloseToZero,processingHighVariance,4,False,False,610.0,610,0.0028,0.0008
releasesCloseToZero,processingHighVariance,5,False,False,871.0,871,0.0092,0.0011
releasesCloseToZero,processingHighVariance,6,False,False,1262.0,1262,0.0114,0.0009
releasesCloseToZero,processingHighVariance,7,False,False,2032.0,2032,0.0106,0.0011
releasesCloseToZero,processingHighVariance,7,False,False,1377.0,1377,0.0152,0.0011
releasesCloseToZero,processingHighVariance,9,False,False,2726.0,2726,0.1478,0.0022
releasesCloseToZero,processingLowVariance,10,False,False,2712.0,2712,0.6618,0.0017
releasesCloseToZero,processingLowVariance,11,False,False,3255.0,3255,1.3029,0.0017
releasesCloseToZero,processingLowVariance,12,False,False,3825.0,3825,0.0197,0.0021
releasesCloseToZero,processingLowVariance,13,False,False,4493.0,4493,0.0461,0.0023
releasesCloseToZero,processingLowVariance,14,False,False,5141.0,5141,0.3127,0.0025
releasesCloseToZero,processingLowVariance,15,False,False,5872.0,5872,0.3912,0.0029
releasesCloseToZero,processingLowVariance,16,False,False,6697.0,6697,179.361,0.006
releasesCloseToZero,processingLowVariance,17,True,False,7529.0,7529,240.0,0.0062
releasesCloseToZero,processingLowVariance,18,False,False,8404.0,8404,0.2688,0.0462
releasesCloseToZero,processingLowVariance,19,False,False,9362.0,9362,0.4994,0.014
releasesCloseToZero,processingLowVariance,2,False,False,156.0,156,0.0014,0.0147
releasesCloseToZero,processingLowVariance,20,False,False,10263.0,10263,0.3157,0.0227
releasesCloseToZero,processingLowVariance,21,True,False,11347.0,11347,240.0,0.0129
releasesCloseToZero,processingLowVariance,22,True,False,12366.0,12366,240.0,0.0119
releasesCloseToZero,processingLowVariance,23,False,False,13549.0,13549,0.0626,0.0071
releasesCloseToZero,processingLowVariance,24,True,False,14731.0,14731,240.0,0.0173
releasesCloseToZero,processingLowVariance,25,False,False,15869.0,15869,0.1279,0.0146
releasesCloseToZero,processingLowVariance,26,True,False,17281.0,17281,240.0,0.0089
releasesCloseToZero,processingLowVariance,27,False,False,18602.0,18602,86.9259,0.0175
releasesCloseToZero,processingLowVariance,28,False,False,20005.0,20004,1.2348,0.01
releasesCloseToZero,processingLowVariance,29,True,False,21428.0,21428,240.0,0.0128
releasesCloseToZero,processingLowVariance,3,False,False,301.0,301,0.0019,0.0005
releasesCloseToZero,processingLowVariance,30,True,False,22782.0,22782,240.0,0.0165
releasesCloseToZero,processingLowVariance,4,False,False,492.0,492,0.0023,0.0006
releasesCloseToZero,processingLowVariance,5,False,False,751.0,751,0.0115,0.0012
releasesCloseToZero,processingLowVariance,6,False,False,1023.0,1023,0.0454,0.0012
releasesCloseToZero,processingLowVariance,7,False,False,1375.0,1375,0.0159,0.0011
releasesCloseToZero,processingLowVariance,8,False,False,1763.0,1763,0.0106,0.0016
releasesCloseToZero,processingLowVariance,9,False,False,2234.0,2234,0.2352,0.0029
releasesCloseToZero,processingUniform,10,False,False,1914.0,1914,0.0905,0.0015
releasesCloseToZero,processingUniform,10,False,False,2193.0,2193,0.0574,0.0015
releasesCloseToZero,processingUniform,12,False,False,2479.0,2479,0.0973,0.0028
releasesCloseToZero,processingUniform,13,False,False,3754.0,3754,0.0151,0.0021
releasesCloseToZero,processingUniform,14,False,False,4672.0,4672,0.0207,0.0026
releasesCloseToZero,processingUniform,15,False,False,3660.0,3660,0.2786,0.0063
releasesCloseToZero,processingUniform,16,False,False,4395.0,4395,0.0304,0.0046
releasesCloseToZero,processingUniform,16,False,False,4655.0,4655,3.29,0.0035
releasesCloseToZero,processingUniform,18,False,False,5018.0,5018,0.4073,0.0044
releasesCloseToZero,processingUniform,19,False,False,9431.0,9431,1.2518,0.0076
releasesCloseToZero,processingUniform,2,False,False,166.0,166,0.0009,0.0005
releasesCloseToZero,processingUniform,20,False,False,5569.0,5569,23.825,0.0055
releasesCloseToZero,processingUniform,21,False,False,8547.0,8547,0.5752,0.0053
releasesCloseToZero,processingUniform,22,False,False,9415.0,9415,6.2903,0.0068
releasesCloseToZero,processingUniform,23,False,False,9988.0,9988,31.7002,0.0114
releasesCloseToZero,processingUniform,23,False,False,13313.0,13313,0.0537,0.0066
releasesCloseToZero,processingUniform,24,False,False,9626.0,9626,0.7364,0.0138
releasesCloseToZero,processingUniform,25,False,False,12472.0,12472,0.1546,0.0141
releasesCloseToZero,processingUniform,27,False,False,13445.0,13445,0.074,0.0247
releasesCloseToZero,processingUniform,27,False,False,13284.0,13284,0.0515,0.0167
