instance,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
instances/few close to zero\instance_0,5,False,False,122.0,122,0.0051,0.0004
instances/few close to zero\instance_1,6,False,False,260.0,260,0.004,0.0005
instances/few close to zero\instance_2,7,False,False,247.0,247,0.0037,0.0006
instances/few close to zero\instance_3,8,False,False,359.0,359,0.0058,0.0007
instances/few close to zero\instance_4,9,False,False,402.0,402,0.049,0.0015
instances/few close to zero\instance_5,9,False,False,336.0,336,0.012,0.0008
instances/few close to zero\instance_6,10,False,False,550.0,550,0.0085,0.001
instances/few close to zero\instance_7,11,False,False,584.0,584,0.0344,0.0024
instances/few close to zero\instance_8,12,False,False,750.0,750,0.0124,0.0014
instances/few close to zero\instance_9,14,False,False,1442.0,1442,0.0148,0.002
