releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesCloseToZero,processingHighVariance,10,False,False,1404.0,1404,0.0195,0.0017
releasesCloseToZero,processingHighVariance,11,False,False,3094.0,3094,0.0215,0.002
releasesCloseToZero,processingHighVariance,8,False,False,1372.0,1372,0.0659,0.0011
releasesCloseToZero,processingHighVariance,11,False,False,2785.0,2785,0.0206,0.002
releasesCloseToZero,processingHighVariance,11,False,False,2746.0,2746,0.0812,0.0017
releasesCloseToZero,processingHighVariance,11,False,False,2265.0,2265,0.0952,0.0017
releasesCloseToZero,processingHighVariance,12,False,False,3250.0,3250,0.0393,0.0035
releasesCloseToZero,processingHighVariance,15,False,False,2808.0,2808,0.0232,0.0033
releasesCloseToZero,processingHighVariance,14,False,False,2871.0,2871,0.0174,0.0042
releasesCloseToZero,processingHighVariance,14,False,False,2676.0,2676,0.0245,0.0046
releasesCloseToZero,processingHighVariance,2,False,False,133.0,133,0.0006,0.0005
releasesCloseToZero,processingHighVariance,18,False,False,5960.0,5960,0.0315,0.0068
releasesCloseToZero,processingHighVariance,19,False,False,6212.0,6212,0.0334,0.0051
releasesCloseToZero,processingHighVariance,19,False,False,5050.0,5050,3.3316,0.0046
releasesCloseToZero,processingHighVariance,21,False,False,5951.0,5951,0.2355,0.0073
releasesCloseToZero,processingHighVariance,18,False,False,6852.0,6852,0.1077,0.0047
releasesCloseToZero,processingHighVariance,22,False,False,5900.0,5900,0.0736,0.0071
releasesCloseToZero,processingHighVariance,20,False,False,7053.0,7053,0.0733,0.0049
releasesCloseToZero,processingHighVariance,24,False,False,8510.0,8510,0.1155,0.0066
releasesCloseToZero,processingHighVariance,25,False,False,8989.0,8989,0.1742,0.0075
releasesCloseToZero,processingHighVariance,25,False,False,9457.0,9457,0.0925,0.0106
releasesCloseToZero,processingHighVariance,1,False,False,12.0,12,0.0004,0.0006
releasesCloseToZero,processingHighVariance,27,False,False,9047.0,9047,0.0626,0.0179
releasesCloseToZero,processingHighVariance,1,False,False,24.0,24,0.0006,0.0004
releasesCloseToZero,processingHighVariance,4,False,False,455.0,455,0.0023,0.0007
releasesCloseToZero,processingHighVariance,5,False,False,679.0,679,0.0092,0.0007
releasesCloseToZero,processingHighVariance,7,False,False,859.0,859,0.0087,0.0009
releasesCloseToZero,processingHighVariance,7,False,False,974.0,974,0.0285,0.0009
releasesCloseToZero,processingHighVariance,8,False,False,1144.0,1144,0.0159,0.0011
releasesCloseToZero,processingLowVariance,10,False,False,1325.0,1325,0.0202,0.0015
releasesCloseToZero,processingLowVariance,11,False,False,1589.0,1589,1.0136,0.0018
releasesCloseToZero,processingLowVariance,12,False,False,1918.0,1918,0.0225,0.002
releasesCloseToZero,processingLowVariance,13,False,False,2209.0,2209,0.0265,0.0023
releasesCloseToZero,processingLowVariance,14,False,False,2496.0,2496,0.0158,0.0026
releasesCloseToZero,processingLowVariance,15,False,False,2923.0,2923,0.0221,0.0049
releasesCloseToZero,processingLowVariance,16,False,False,3243.0,3243,0.6683,0.0033
