releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesCloseToZero,processingHighVariance,8,False,False,2846.0,2846,0.0199,0.0013
releasesCloseToZero,processingHighVariance,11,False,False,6861.0,6861,0.0123,0.0017
releasesCloseToZero,processingHighVariance,12,False,False,10395.0,10395,0.0259,0.002
releasesCloseToZero,processingHighVariance,11,False,False,7481.0,7481,0.0124,0.0018
releasesCloseToZero,processingHighVariance,14,False,False,8143.0,8143,0.1034,0.0064
releasesCloseToZero,processingHighVariance,13,False,False,10456.0,10456,0.1047,0.0035
releasesCloseToZero,processingHighVariance,14,False,False,10903.0,10903,0.0212,0.0027
releasesCloseToZero,processingHighVariance,15,False,False,12776.0,12776,0.0873,0.0027
releasesCloseToZero,processingHighVariance,18,False,False,13741.0,13741,1.1386,0.0038
releasesCloseToZero,processingHighVariance,18,False,False,14030.0,14030,0.0533,0.0038
releasesCloseToZero,processingHighVariance,2,False,False,456.0,456,0.0007,0.0006
releasesCloseToZero,processingHighVariance,18,False,False,15219.0,15219,0.9211,0.0038
releasesCloseToZero,processingHighVariance,17,False,False,10857.0,10857,0.5401,0.0034
releasesCloseToZero,processingHighVariance,20,False,False,18160.0,18160,0.1851,0.0046
releasesCloseToZero,processingHighVariance,20,False,False,17648.0,17648,0.0324,0.0093
releasesCloseToZero,processingHighVariance,18,False,False,16802.0,16802,2.7222,0.0044
releasesCloseToZero,processingHighVariance,23,True,False,26889.0,26889,60.0,0.0074
releasesCloseToZero,processingHighVariance,21,False,False,17754.0,17754,0.0352,0.0102
releasesCloseToZero,processingHighVariance,24,False,False,32593.0,32593,1.2155,0.0074
releasesCloseToZero,processingHighVariance,24,False,False,22695.0,22695,0.0829,0.0131
releasesCloseToZero,processingHighVariance,23,False,False,21639.0,21639,1.5331,0.0075
releasesCloseToZero,processingHighVariance,1,False,False,108.0,108,0.0004,0.0004
releasesCloseToZero,processingHighVariance,26,False,False,27511.0,27511,0.0736,0.017
releasesCloseToZero,processingHighVariance,3,False,False,610.0,610,0.0021,0.0006
releasesCloseToZero,processingHighVariance,5,False,False,2267.0,2267,0.0065,0.0009
releasesCloseToZero,processingHighVariance,6,False,False,1529.0,1529,0.0104,0.0009
releasesCloseToZero,processingHighVariance,7,False,False,3452.0,3452,0.0392,0.0011
releasesCloseToZero,processingHighVariance,7,False,False,2676.0,2676,0.0053,0.0011
releasesCloseToZero,processingHighVariance,9,False,False,3132.0,3132,0.0389,0.0019
