releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesCloseToZero,processingLowVariance,10,False,False,5452.0,5452,0.0326,0.0017
releasesCloseToZero,processingLowVariance,11,False,False,6516.0,6516,0.6048,0.0017
releasesCloseToZero,processingLowVariance,12,False,False,7744.0,7744,0.0226,0.0019
releasesCloseToZero,processingLowVariance,13,False,False,9029.0,9029,0.5059,0.0021
releasesCloseToZero,processingLowVariance,14,False,False,10398.0,10398,0.1305,0.0023
releasesCloseToZero,processingLowVariance,15,False,False,11832.0,11832,0.0566,0.0028
releasesCloseToZero,processingLowVariance,16,False,False,13488.0,13488,0.0232,0.0031
releasesCloseToZero,processingLowVariance,17,False,False,15236.0,15236,7.1927,0.005
releasesCloseToZero,processingLowVariance,18,False,False,16939.0,16939,29.3922,0.0068
releasesCloseToZero,processingLowVariance,19,False,False,18930.0,18930,4.8675,0.0168
releasesCloseToZero,processingLowVariance,2,False,False,298.0,298,0.0011,0.0007
releasesCloseToZero,processingLowVariance,20,False,False,20777.0,20776,1.3023,0.0125
releasesCloseToZero,processingLowVariance,21,False,False,22879.0,22879,21.2503,0.0125
releasesCloseToZero,processingLowVariance,22,True,False,25052.0,25052,60.0,0.0102
releasesCloseToZero,processingLowVariance,23,False,False,27363.0,27363,0.3419,0.011
releasesCloseToZero,processingLowVariance,24,True,False,29742.0,29742,60.0,0.0125
releasesCloseToZero,processingLowVariance,25,False,False,32101.0,32101,7.9968,0.0088
releasesCloseToZero,processingLowVariance,26,False,False,34698.0,34698,59.9952,0.0184
releasesCloseToZero,processingLowVariance,27,False,False,37598.0,37598,0.4933,0.016
releasesCloseToZero,processingLowVariance,28,False,False,40276.0,40276,0.2365,0.0225
releasesCloseToZero,processingLowVariance,29,False,False,43131.0,43130,0.467,0.0149
releasesCloseToZero,processingLowVariance,3,False,False,629.0,629,0.002,0.0005
releasesCloseToZero,processingLowVariance,30,False,False,45872.0,45872,3.8004,0.0287
releasesCloseToZero,processingLowVariance,4,False,False,1003.0,1003,0.0218,0.0008
releasesCloseToZero,processingLowVariance,5,False,False,1511.0,1511,0.0334,0.0007
releasesCloseToZero,processingLowVariance,6,False,False,2085.0,2085,0.0128,0.0009
releasesCloseToZero,processingLowVariance,7,False,False,2785.0,2785,0.0087,0.0015
releasesCloseToZero,processingLowVariance,8,False,False,3587.0,3587,0.0056,0.0029
releasesCloseToZero,processingLowVariance,9,False,False,4469.0,4469,0.0085,0.0026
