releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesCloseToZero,processingUniform,10,False,False,3665.0,3665,0.0168,0.0025
releasesCloseToZero,processingUniform,11,False,False,3291.0,3291,0.1308,0.0027
releasesCloseToZero,processingUniform,12,False,False,6095.0,6095,0.2601,0.0018
releasesCloseToZero,processingUniform,13,False,False,5843.0,5843,0.0863,0.0022
releasesCloseToZero,processingUniform,14,False,False,8674.0,8674,0.1377,0.0024
releasesCloseToZero,processingUniform,15,False,False,5312.0,5312,0.0253,0.0026
releasesCloseToZero,processingUniform,16,False,False,6657.0,6657,0.0396,0.0051
releasesCloseToZero,processingUniform,17,False,False,11594.0,11594,0.1694,0.0034
releasesCloseToZero,processingUniform,17,False,False,9300.0,9300,0.0836,0.0062
releasesCloseToZero,processingUniform,19,False,False,13558.0,13558,0.2061,0.0043
releasesCloseToZero,processingUniform,2,False,False,438.0,438,0.0006,0.0005
releasesCloseToZero,processingUniform,20,False,False,15045.0,15045,5.2027,0.0058
releasesCloseToZero,processingUniform,21,True,False,16568.0,16568,60.0,0.0185
releasesCloseToZero,processingUniform,21,False,False,19647.0,19647,0.1651,0.0098
releasesCloseToZero,processingUniform,23,False,False,22715.0,22715,4.1825,0.0075
releasesCloseToZero,processingUniform,24,False,False,31314.0,31314,0.0837,0.0079
releasesCloseToZero,processingUniform,24,False,False,19334.0,19334,0.1682,0.0132
releasesCloseToZero,processingUniform,26,False,False,26858.0,26858,0.1093,0.0152
releasesCloseToZero,processingUniform,27,False,False,18383.0,18383,0.6971,0.0402
releasesCloseToZero,processingUniform,27,False,False,35970.0,35970,17.4514,0.0127
releasesCloseToZero,processingUniform,29,False,False,33964.0,33964,56.3924,0.0255
releasesCloseToZero,processingUniform,3,False,False,199.0,199,0.0013,0.0007
releasesCloseToZero,processingUniform,30,False,False,28955.0,28955,39.865,0.0187
releasesCloseToZero,processingUniform,4,False,False,1116.0,1116,0.0039,0.0006
releasesCloseToZero,processingUniform,5,False,False,1001.0,1001,0.0056,0.001
releasesCloseToZero,processingUniform,6,False,False,2025.0,2025,0.0536,0.0008
releasesCloseToZero,processingUniform,7,False,False,2089.0,2089,0.0094,0.0015
releasesCloseToZero,processingUniform,8,False,False,2230.0,2230,0.0258,0.0013
releasesCloseToZero,processingUniform,9,False,False,1351.0,1351,0.0049,0.0022
