releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesFarFromZero,processingHighVariance,10,False,False,8721.0,8721,0.0164,0.0035
releasesFarFromZero,processingHighVariance,10,False,False,6116.0,6116,0.0999,0.0039
releasesFarFromZero,processingHighVariance,10,False,False,10477.0,10477,0.0547,0.0015
releasesFarFromZero,processingHighVariance,10,False,False,7657.0,7657,0.0339,0.0023
releasesFarFromZero,processingHighVariance,13,False,False,12745.0,12745,16.276,0.0037
releasesFarFromZero,processingHighVariance,13,False,False,11886.0,11886,2.5533,0.0034
releasesFarFromZero,processingHighVariance,14,False,False,9412.0,9412,0.5747,0.0059
releasesFarFromZero,processingHighVariance,12,False,True,6936.0,inf,0.1316,60.0
releasesFarFromZero,processingHighVariance,15,False,False,13696.0,13696,0.2035,0.0234
releasesFarFromZero,processingHighVariance,16,False,False,15094.0,15094,0.048,0.0199
releasesFarFromZero,processingHighVariance,1,False,False,314.0,314,0.0004,0.0005
releasesFarFromZero,processingHighVariance,15,False,False,13796.0,13796,6.1665,0.0052
releasesFarFromZero,processingHighVariance,15,False,False,14894.0,14894,0.1199,0.0076
releasesFarFromZero,processingHighVariance,15,False,False,11572.0,11572,0.4058,0.0233
releasesFarFromZero,processingHighVariance,18,False,False,19777.0,19777,10.0401,0.0115
releasesFarFromZero,processingHighVariance,24,False,False,36411.0,36411,37.9621,0.0332
releasesFarFromZero,processingHighVariance,21,False,False,25461.0,25461,0.0342,0.123
releasesFarFromZero,processingHighVariance,22,False,False,26483.0,26483,0.3511,0.0451
releasesFarFromZero,processingHighVariance,26,True,False,39943.0,39943,60.0,0.0221
releasesFarFromZero,processingHighVariance,26,False,True,36737.0,inf,21.2673,60.0
releasesFarFromZero,processingHighVariance,25,False,False,34876.0,34876,13.8073,0.0742
releasesFarFromZero,processingHighVariance,3,False,True,669.0,inf,0.001,60.0
releasesFarFromZero,processingHighVariance,23,False,False,33288.0,33288,0.2578,0.045
releasesFarFromZero,processingHighVariance,3,False,False,745.0,745,0.001,0.0007
releasesFarFromZero,processingHighVariance,3,False,False,1109.0,1109,0.0007,0.0006
releasesFarFromZero,processingHighVariance,5,False,False,2141.0,2141,0.0264,0.0009
releasesFarFromZero,processingHighVariance,6,False,False,2620.0,2620,0.004,0.0012
releasesFarFromZero,processingHighVariance,7,False,True,1975.0,inf,0.0309,60.0
releasesFarFromZero,processingHighVariance,8,False,False,2963.0,2963,0.0498,0.0026
