releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesFarFromZero,processingLowVariance,10,False,False,5967.0,5967,0.0833,0.0026
releasesFarFromZero,processingLowVariance,11,False,False,7293.0,7293,0.0253,0.0036
releasesFarFromZero,processingLowVariance,12,False,False,8399.0,8399,0.0252,0.0058
releasesFarFromZero,processingLowVariance,13,False,False,10001.0,10001,0.0924,0.0078
releasesFarFromZero,processingLowVariance,14,False,False,11266.0,11266,0.0238,0.0096
releasesFarFromZero,processingLowVariance,15,False,False,13031.0,13031,1.1846,0.0113
releasesFarFromZero,processingLowVariance,16,False,False,14388.0,14388,8.8243,0.008
releasesFarFromZero,processingLowVariance,17,False,False,16365.0,16365,1.8748,0.0146
releasesFarFromZero,processingLowVariance,18,False,False,17873.0,17873,1.2823,0.0133
releasesFarFromZero,processingLowVariance,19,False,False,19913.0,19913,3.1178,0.0161
releasesFarFromZero,processingLowVariance,2,False,False,494.0,494,0.0007,0.0004
releasesFarFromZero,processingLowVariance,20,False,False,21877.0,21877,0.0621,0.0132
releasesFarFromZero,processingLowVariance,21,False,False,23959.0,23959,0.0481,0.0217
releasesFarFromZero,processingLowVariance,22,False,False,26348.0,26348,0.0685,0.0269
releasesFarFromZero,processingLowVariance,23,False,False,28645.0,28645,6.5011,0.0333
releasesFarFromZero,processingLowVariance,24,True,False,31490.0,31490,60.0,0.0672
releasesFarFromZero,processingLowVariance,25,False,False,33614.0,33614,45.9507,0.0519
releasesFarFromZero,processingLowVariance,26,False,False,36140.0,36140,23.8648,0.0587
releasesFarFromZero,processingLowVariance,27,True,False,39079.0,39079,60.0,0.081
releasesFarFromZero,processingLowVariance,28,False,False,41820.0,41820,59.9964,0.0262
releasesFarFromZero,processingLowVariance,29,False,False,44546.0,44544,0.8942,0.0283
releasesFarFromZero,processingLowVariance,3,False,True,908.0,inf,0.0009,60.0
releasesFarFromZero,processingLowVariance,30,False,False,47640.0,47640,0.0737,0.0466
releasesFarFromZero,processingLowVariance,4,False,False,1393.0,1393,0.0025,0.001
releasesFarFromZero,processingLowVariance,5,False,False,1882.0,1882,0.0092,0.0011
releasesFarFromZero,processingLowVariance,6,False,False,2418.0,2418,0.0053,0.0012
releasesFarFromZero,processingLowVariance,7,False,False,3296.0,3296,0.0267,0.0018
releasesFarFromZero,processingLowVariance,8,False,False,4282.0,4282,0.0087,0.0017
releasesFarFromZero,processingLowVariance,9,False,False,4964.0,4964,0.0427,0.0029
