releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesFarFromZero,processingUniform,10,False,False,4736.0,4736,0.0281,0.0096
releasesFarFromZero,processingUniform,11,False,False,7085.0,7085,0.1614,0.0032
releasesFarFromZero,processingUniform,12,False,False,8458.0,8458,0.0146,0.0052
releasesFarFromZero,processingUniform,12,False,False,7346.0,7346,1.1182,0.0119
releasesFarFromZero,processingUniform,14,False,False,10016.0,10016,0.1171,0.004
releasesFarFromZero,processingUniform,15,False,False,8664.0,8664,59.9946,0.0387
releasesFarFromZero,processingUniform,16,True,False,10478.0,10478,60.0,0.05
releasesFarFromZero,processingUniform,17,False,False,11221.0,11221,1.5496,0.0223
releasesFarFromZero,processingUniform,18,False,False,18227.0,18227,0.091,0.0223
releasesFarFromZero,processingUniform,19,False,False,18069.0,18069,12.1653,0.0368
releasesFarFromZero,processingUniform,2,False,False,538.0,538,0.0008,0.0005
releasesFarFromZero,processingUniform,20,False,False,14414.0,14414,0.2225,0.048
releasesFarFromZero,processingUniform,21,False,False,15209.0,15209,0.4685,0.1124
releasesFarFromZero,processingUniform,22,False,False,16957.0,16957,2.7333,0.3643
releasesFarFromZero,processingUniform,23,False,False,19003.0,19003,1.4177,0.2258
releasesFarFromZero,processingUniform,24,False,False,30266.0,30266,59.9983,0.0364
releasesFarFromZero,processingUniform,25,True,False,21751.0,21639,60.0,0.2403
releasesFarFromZero,processingUniform,25,False,False,24701.0,24701,53.7358,0.2911
releasesFarFromZero,processingUniform,27,True,False,33397.0,33397,60.0,0.0744
releasesFarFromZero,processingUniform,28,False,False,30860.0,30860,6.1434,0.3106
releasesFarFromZero,processingUniform,29,False,False,27020.0,26969,59.998,1.5271
releasesFarFromZero,processingUniform,3,False,False,1213.0,1213,0.003,0.0008
releasesFarFromZero,processingUniform,30,True,False,21317.0,21317,60.0,0.8201
releasesFarFromZero,processingUniform,4,False,False,1140.0,1140,0.0012,0.0012
releasesFarFromZero,processingUniform,5,False,False,1964.0,1964,0.0054,0.0011
releasesFarFromZero,processingUniform,6,False,False,2159.0,2159,0.0277,0.0013
releasesFarFromZero,processingUniform,7,False,False,2552.0,2552,0.0406,0.0019
releasesFarFromZero,processingUniform,8,False,False,2800.0,2800,0.0406,0.0064
releasesFarFromZero,processingUniform,9,False,False,4395.0,4395,0.3254,0.0024
