releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesHighVariance,processingHighVariance,8,False,False,4187.0,4187,0.0528,0.0048
releasesHighVariance,processingHighVariance,10,False,False,6355.0,6355,0.3948,0.0053
releasesHighVariance,processingHighVariance,10,False,False,4574.0,4574,0.0256,0.0134
releasesHighVariance,processingHighVariance,9,False,False,2644.0,2644,0.0905,0.0357
releasesHighVariance,processingHighVariance,11,False,False,8285.0,8285,0.5174,0.0114
releasesHighVariance,processingHighVariance,11,False,False,4068.0,4068,0.1489,0.0103
releasesHighVariance,processingHighVariance,11,False,False,7812.0,7812,0.4234,0.0044
releasesHighVariance,processingHighVariance,11,False,False,8321.0,8321,0.0204,0.0158
releasesHighVariance,processingHighVariance,15,False,False,13150.0,13150,0.0519,0.0173
releasesHighVariance,processingHighVariance,14,False,False,8866.0,8866,0.1137,0.0412
releasesHighVariance,processingHighVariance,1,False,False,119.0,119,0.0003,0.0004
releasesHighVariance,processingHighVariance,13,False,False,11271.0,11271,5.9864,0.0061
releasesHighVariance,processingHighVariance,14,False,False,11048.0,11048,0.1774,0.1239
releasesHighVariance,processingHighVariance,16,False,False,16206.0,16206,0.7267,0.015
releasesHighVariance,processingHighVariance,18,True,False,18260.0,18240,60.0,0.0434
releasesHighVariance,processingHighVariance,18,False,True,15065.0,inf,40.0755,60.0
releasesHighVariance,processingHighVariance,18,False,False,15077.0,15077,0.0837,0.1671
releasesHighVariance,processingHighVariance,16,False,False,15917.0,15917,0.4072,0.0646
releasesHighVariance,processingHighVariance,17,False,False,14780.0,14780,2.5135,0.0742
releasesHighVariance,processingHighVariance,22,False,False,17377.0,17377,1.7992,0.3963
releasesHighVariance,processingHighVariance,24,False,False,28703.0,28703,0.4415,0.0646
releasesHighVariance,processingHighVariance,3,False,False,1206.0,1206,0.0008,0.0006
releasesHighVariance,processingHighVariance,21,False,False,21924.0,21924,59.991,1.4257
releasesHighVariance,processingHighVariance,2,False,False,969.0,969,0.0007,0.0006
releasesHighVariance,processingHighVariance,5,False,False,2562.0,2562,0.014,0.0012
releasesHighVariance,processingHighVariance,4,False,False,2641.0,2641,0.0083,0.0007
releasesHighVariance,processingHighVariance,4,False,False,1479.0,1479,0.0014,0.0008
releasesHighVariance,processingHighVariance,7,False,False,3634.0,3634,0.0075,0.0029
releasesHighVariance,processingHighVariance,6,False,True,2406.0,inf,0.0037,60.0
