releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesHighVariance,processingLowVariance,9,False,False,4547.0,4547,0.0955,0.0111
releasesHighVariance,processingLowVariance,9,False,False,4867.0,4867,0.0447,0.005
releasesHighVariance,processingLowVariance,10,False,False,5494.0,5494,0.0183,0.0093
releasesHighVariance,processingLowVariance,13,False,False,8957.0,8957,0.059,0.0101
releasesHighVariance,processingLowVariance,13,False,False,9710.0,9710,0.0258,0.0144
releasesHighVariance,processingLowVariance,13,False,False,9122.0,9122,5.8541,0.0288
releasesHighVariance,processingLowVariance,13,False,False,9324.0,9324,0.1111,0.0153
releasesHighVariance,processingLowVariance,14,False,False,11262.0,11262,0.7473,0.0076
releasesHighVariance,processingLowVariance,16,False,False,13637.0,13637,0.0435,0.0199
releasesHighVariance,processingLowVariance,17,False,False,15580.0,15580,0.0631,0.0181
releasesHighVariance,processingLowVariance,2,False,True,307.0,inf,0.0007,60.0
releasesHighVariance,processingLowVariance,18,False,False,17134.0,17134,3.2108,0.0775
releasesHighVariance,processingLowVariance,17,False,False,15265.0,15265,0.9654,0.0866
releasesHighVariance,processingLowVariance,20,False,False,20892.0,20892,8.817,0.2091
releasesHighVariance,processingLowVariance,20,False,False,21312.0,21312,0.2375,0.0508
releasesHighVariance,processingLowVariance,20,False,False,20929.0,20929,7.4046,0.1667
releasesHighVariance,processingLowVariance,23,False,False,27848.0,27848,0.1358,0.0777
releasesHighVariance,processingLowVariance,25,False,False,32284.0,32284,4.7575,0.1794
releasesHighVariance,processingLowVariance,24,False,False,29861.0,29861,19.7637,0.1122
releasesHighVariance,processingLowVariance,23,True,False,27425.0,27425,60.0,0.0438
releasesHighVariance,processingLowVariance,24,False,False,29605.0,29605,0.0752,0.186
releasesHighVariance,processingLowVariance,3,False,False,1083.0,1083,0.0013,0.0008
releasesHighVariance,processingLowVariance,28,False,False,40210.0,40210,1.6707,0.1177
releasesHighVariance,processingLowVariance,3,False,False,904.0,904,0.0008,0.0007
releasesHighVariance,processingLowVariance,4,False,True,1020.0,inf,0.0009,60.0
releasesHighVariance,processingLowVariance,4,False,False,1146.0,1146,0.0025,0.001
releasesHighVariance,processingLowVariance,6,False,False,2617.0,2617,0.0147,0.0025
releasesHighVariance,processingLowVariance,5,False,False,1497.0,1497,0.0177,0.0013
releasesHighVariance,processingLowVariance,7,False,False,3008.0,3008,0.0089,0.0025
