releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesHighVariance,processingUniform,8,False,False,3169.0,3169,0.2852,0.0022
releasesHighVariance,processingUniform,9,False,False,5522.0,5522,0.289,0.0013
releasesHighVariance,processingUniform,9,False,True,2809.0,inf,0.1472,60.0
releasesHighVariance,processingUniform,11,False,False,6057.0,6057,0.0549,0.0073
releasesHighVariance,processingUniform,12,False,False,5571.0,5571,0.2825,0.0602
releasesHighVariance,processingUniform,13,False,False,6655.0,6655,0.3874,0.0825
releasesHighVariance,processingUniform,13,False,True,5516.0,inf,0.5855,60.0
releasesHighVariance,processingUniform,15,False,False,12331.0,12331,0.0906,0.0188
releasesHighVariance,processingUniform,14,False,False,7343.0,7343,0.8742,0.1584
releasesHighVariance,processingUniform,17,False,False,12646.0,12646,0.2652,0.0418
releasesHighVariance,processingUniform,2,False,True,416.0,inf,0.0007,60.0
releasesHighVariance,processingUniform,20,False,True,13516.0,inf,59.9969,60.0
releasesHighVariance,processingUniform,19,False,False,11768.0,11768,0.432,1.2
releasesHighVariance,processingUniform,19,False,False,15718.0,15718,29.7412,0.3408
releasesHighVariance,processingUniform,21,False,False,21263.0,21263,4.5784,0.4499
releasesHighVariance,processingUniform,22,False,False,14509.0,14509,18.7937,4.4299
releasesHighVariance,processingUniform,21,False,False,22906.0,22906,59.9907,0.1006
releasesHighVariance,processingUniform,24,True,True,20377.0,inf,60.0,60.0
releasesHighVariance,processingUniform,23,False,True,18905.0,inf,19.8519,60.0
releasesHighVariance,processingUniform,26,False,False,25481.0,25481,3.626,1.025
releasesHighVariance,processingUniform,25,False,False,27524.0,27524,1.4529,0.6293
releasesHighVariance,processingUniform,2,False,False,657.0,657,0.0006,0.0004
releasesHighVariance,processingUniform,29,True,False,45746.0,45642,60.0,0.126
releasesHighVariance,processingUniform,4,False,True,974.0,inf,0.0012,60.0
releasesHighVariance,processingUniform,5,False,False,1237.0,1237,0.0009,0.002
releasesHighVariance,processingUniform,6,False,False,2074.0,2074,0.0134,0.0024
releasesHighVariance,processingUniform,5,False,False,1162.0,1162,0.003,0.0021
releasesHighVariance,processingUniform,8,False,False,3118.0,3118,0.1069,0.0025
releasesHighVariance,processingUniform,8,False,False,2997.0,2997,0.0554,0.0069
