releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesLowVariance,processingHighVariance,6,False,False,3686.0,3686,0.0043,0.001
releasesLowVariance,processingHighVariance,9,False,False,6413.0,6413,0.0183,0.0019
releasesLowVariance,processingHighVariance,12,False,False,11272.0,11272,0.0553,0.0018
releasesLowVariance,processingHighVariance,8,False,False,3853.0,3853,0.0076,0.0013
releasesLowVariance,processingHighVariance,14,False,False,10016.0,10016,0.0727,0.0024
releasesLowVariance,processingHighVariance,14,False,False,10171.0,10171,0.0392,0.003
releasesLowVariance,processingHighVariance,15,False,False,15607.0,15607,0.0778,0.0031
releasesLowVariance,processingHighVariance,15,False,False,12115.0,12115,0.0474,0.0028
releasesLowVariance,processingHighVariance,16,False,False,12469.0,12469,0.0217,0.0037
releasesLowVariance,processingHighVariance,17,False,False,16939.0,16939,0.0311,0.0036
releasesLowVariance,processingHighVariance,2,False,False,519.0,519,0.0006,0.0006
releasesLowVariance,processingHighVariance,19,False,False,19493.0,19493,0.0374,0.0067
releasesLowVariance,processingHighVariance,15,False,False,13399.0,13399,0.0237,0.0033
releasesLowVariance,processingHighVariance,15,False,False,11925.0,11925,0.0753,0.0028
releasesLowVariance,processingHighVariance,19,False,False,16216.0,16216,0.0394,0.0048
releasesLowVariance,processingHighVariance,20,False,False,15382.0,15382,0.1965,0.0044
releasesLowVariance,processingHighVariance,22,False,False,26232.0,26232,0.0543,0.0057
releasesLowVariance,processingHighVariance,20,False,False,25237.0,25237,0.0783,0.0046
releasesLowVariance,processingHighVariance,22,False,False,24834.0,24834,0.0364,0.0054
releasesLowVariance,processingHighVariance,22,False,False,24991.0,24991,0.0602,0.0057
releasesLowVariance,processingHighVariance,21,False,False,27515.0,27515,0.0731,0.0052
releasesLowVariance,processingHighVariance,3,False,False,635.0,635,0.0019,0.0007
releasesLowVariance,processingHighVariance,27,False,False,42900.0,42900,0.7443,0.0088
releasesLowVariance,processingHighVariance,3,False,False,408.0,408,0.0007,0.0004
releasesLowVariance,processingHighVariance,5,False,False,3254.0,3254,0.0082,0.0007
releasesLowVariance,processingHighVariance,5,False,False,3278.0,3278,0.0029,0.0007
releasesLowVariance,processingHighVariance,7,False,False,3404.0,3404,0.0093,0.001
releasesLowVariance,processingHighVariance,6,False,False,1790.0,1790,0.004,0.0009
releasesLowVariance,processingHighVariance,8,False,False,3134.0,3134,0.0081,0.0012
