releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesLowVariance,processingLowVariance,10,False,False,6418.0,6418,0.0876,0.0015
releasesLowVariance,processingLowVariance,11,False,False,7626.0,7626,0.7784,0.0017
releasesLowVariance,processingLowVariance,12,False,False,8916.0,8916,0.0205,0.0018
releasesLowVariance,processingLowVariance,13,False,False,10300.0,10300,0.0572,0.0021
releasesLowVariance,processingLowVariance,14,False,False,11782.0,11781,0.0778,0.0026
releasesLowVariance,processingLowVariance,15,False,False,13326.0,13326,26.9786,0.0038
releasesLowVariance,processingLowVariance,16,False,False,15068.0,15068,3.0222,0.0035
releasesLowVariance,processingLowVariance,17,False,False,16852.0,16852,13.3347,0.006
releasesLowVariance,processingLowVariance,18,False,False,18687.0,18686,0.8491,0.0038
releasesLowVariance,processingLowVariance,19,False,False,20652.0,20652,0.0312,0.0043
releasesLowVariance,processingLowVariance,2,False,False,493.0,493,0.0006,0.0005
releasesLowVariance,processingLowVariance,20,True,False,22752.0,22752,60.0,0.0059
releasesLowVariance,processingLowVariance,21,True,False,25056.0,25056,60.0,0.0063
releasesLowVariance,processingLowVariance,22,False,False,27236.0,27234,0.9173,0.0082
releasesLowVariance,processingLowVariance,23,False,False,29475.0,29475,0.788,0.0071
releasesLowVariance,processingLowVariance,24,False,False,32123.0,32123,0.0978,0.0076
releasesLowVariance,processingLowVariance,25,False,False,34667.0,34667,0.2392,0.0071
releasesLowVariance,processingLowVariance,26,False,False,37192.0,37192,1.8926,0.0087
releasesLowVariance,processingLowVariance,27,True,False,40041.0,40041,60.0,0.0108
releasesLowVariance,processingLowVariance,28,True,False,43033.0,43033,60.0,0.0114
releasesLowVariance,processingLowVariance,29,False,False,45886.0,45885,1.4277,0.0169
releasesLowVariance,processingLowVariance,3,False,False,894.0,894,0.0018,0.0005
releasesLowVariance,processingLowVariance,30,True,False,48955.0,48955,60.0,0.0145
releasesLowVariance,processingLowVariance,4,False,False,1381.0,1381,0.0032,0.0006
releasesLowVariance,processingLowVariance,5,False,False,1989.0,1989,0.0114,0.0007
releasesLowVariance,processingLowVariance,6,False,False,2656.0,2656,0.0069,0.0009
releasesLowVariance,processingLowVariance,7,False,False,3489.0,3489,0.0174,0.001
releasesLowVariance,processingLowVariance,8,False,False,4362.0,4362,0.0077,0.0014
releasesLowVariance,processingLowVariance,9,False,False,5373.0,5373,0.0162,0.0014
