releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesLowVariance,processingUniform,10,False,False,5270.0,5270,0.0387,0.0018
releasesLowVariance,processingUniform,10,False,False,5874.0,5874,0.0116,0.0023
releasesLowVariance,processingUniform,12,False,False,6651.0,6651,0.0147,0.0032
releasesLowVariance,processingUniform,13,False,False,6721.0,6721,0.0439,0.0024
releasesLowVariance,processingUniform,14,False,False,10831.0,10831,0.0304,0.0025
releasesLowVariance,processingUniform,15,False,False,8958.0,8958,0.0211,0.0027
releasesLowVariance,processingUniform,16,False,False,11031.0,11031,0.0951,0.003
releasesLowVariance,processingUniform,17,False,False,11841.0,11841,0.0246,0.006
releasesLowVariance,processingUniform,18,False,False,10365.0,10365,0.0304,0.0039
releasesLowVariance,processingUniform,19,False,False,10773.0,10773,0.1755,0.0045
releasesLowVariance,processingUniform,2,False,False,432.0,432,0.0006,0.0006
releasesLowVariance,processingUniform,20,False,False,16457.0,16457,0.0388,0.0046
releasesLowVariance,processingUniform,21,False,False,17558.0,17558,0.0653,0.0051
releasesLowVariance,processingUniform,21,False,False,16185.0,16185,0.0437,0.0051
releasesLowVariance,processingUniform,23,False,False,18002.0,18002,0.0473,0.0078
releasesLowVariance,processingUniform,24,False,False,23921.0,23921,0.7628,0.0068
releasesLowVariance,processingUniform,25,False,False,24228.0,24228,0.2241,0.0086
releasesLowVariance,processingUniform,26,False,False,33013.0,33013,5.1946,0.008
releasesLowVariance,processingUniform,27,False,False,27619.0,27619,1.0558,0.0114
releasesLowVariance,processingUniform,28,False,False,32239.0,32239,31.2826,0.0112
releasesLowVariance,processingUniform,29,False,False,34360.0,34360,0.5366,0.0107
releasesLowVariance,processingUniform,3,False,False,955.0,955,0.0019,0.0005
releasesLowVariance,processingUniform,30,False,False,33048.0,33048,19.0103,0.0129
releasesLowVariance,processingUniform,4,False,False,1602.0,1602,0.0032,0.0006
releasesLowVariance,processingUniform,5,False,False,1968.0,1968,0.0078,0.0007
releasesLowVariance,processingUniform,6,False,False,1810.0,1810,0.0055,0.0009
releasesLowVariance,processingUniform,7,False,False,4176.0,4176,0.0058,0.001
releasesLowVariance,processingUniform,8,False,False,3016.0,3016,0.0064,0.0012
releasesLowVariance,processingUniform,9,False,False,4770.0,4770,0.0199,0.0014
