releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesUniform,processingHighVariance,9,False,False,5737.0,5737,0.3867,0.0026
releasesUniform,processingHighVariance,10,False,False,6759.0,6759,0.0349,0.0059
releasesUniform,processingHighVariance,10,False,False,6717.0,6717,0.2348,0.0025
releasesUniform,processingHighVariance,10,False,False,5418.0,5418,0.0231,0.0031
releasesUniform,processingHighVariance,13,False,False,8712.0,8712,4.0175,0.0077
releasesUniform,processingHighVariance,14,False,False,7010.0,7010,0.1261,0.0367
releasesUniform,processingHighVariance,15,False,False,13166.0,13166,0.5827,0.0328
releasesUniform,processingHighVariance,13,False,False,13254.0,13254,3.7236,0.0034
releasesUniform,processingHighVariance,16,False,False,14474.0,14474,0.0551,0.0138
releasesUniform,processingHighVariance,16,False,False,12682.0,12682,0.3812,0.0235
releasesUniform,processingHighVariance,1,False,False,306.0,306,0.0005,0.0005
releasesUniform,processingHighVariance,17,False,False,16156.0,16156,59.9992,0.0067
releasesUniform,processingHighVariance,18,False,False,12751.0,12751,0.5586,0.0497
releasesUniform,processingHighVariance,19,False,False,14454.0,14454,1.1165,0.0223
releasesUniform,processingHighVariance,22,False,False,24626.0,24626,0.093,0.0667
releasesUniform,processingHighVariance,21,False,False,19195.0,19195,1.6606,0.074
releasesUniform,processingHighVariance,22,False,False,25317.0,25317,14.6567,0.0427
releasesUniform,processingHighVariance,23,False,False,25314.0,25314,59.9915,0.0993
releasesUniform,processingHighVariance,25,False,False,29426.0,29426,5.8127,0.2466
releasesUniform,processingHighVariance,24,False,False,30156.0,30156,8.8734,0.1836
releasesUniform,processingHighVariance,25,False,False,34975.0,34975,1.6963,0.072
releasesUniform,processingHighVariance,2,False,False,605.0,605,0.0008,0.0005
releasesUniform,processingHighVariance,29,True,True,48440.0,inf,60.0,60.0
releasesUniform,processingHighVariance,3,False,False,979.0,979,0.0009,0.0007
releasesUniform,processingHighVariance,4,False,False,1141.0,1141,0.0019,0.0014
releasesUniform,processingHighVariance,5,False,False,1612.0,1612,0.0112,0.0012
releasesUniform,processingHighVariance,4,False,False,1275.0,1275,0.0061,0.0009
releasesUniform,processingHighVariance,5,False,False,1796.0,1796,0.0178,0.0008
releasesUniform,processingHighVariance,8,False,False,4226.0,4226,0.0129,0.0013
