releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesUniform,processingLowVariance,10,False,False,5558.0,5558,0.0163,0.0041
releasesUniform,processingLowVariance,11,False,False,6744.0,6744,1.0214,0.0046
releasesUniform,processingLowVariance,12,False,False,8142.0,8142,0.0125,0.0063
releasesUniform,processingLowVariance,13,False,False,9119.0,9119,2.9664,0.0051
releasesUniform,processingLowVariance,14,False,False,10395.0,10394,0.1132,0.0058
releasesUniform,processingLowVariance,15,False,False,12555.0,12555,0.0336,0.0117
releasesUniform,processingLowVariance,16,False,False,13733.0,13733,0.0934,0.0084
releasesUniform,processingLowVariance,17,True,False,15401.0,15401,60.0,0.0175
releasesUniform,processingLowVariance,18,True,False,16940.0,16940,60.0,0.0255
releasesUniform,processingLowVariance,19,False,False,19056.0,19056,52.123,0.0259
releasesUniform,processingLowVariance,2,False,False,441.0,441,0.0008,0.0006
releasesUniform,processingLowVariance,20,False,False,20830.0,20830,1.6341,0.0174
releasesUniform,processingLowVariance,21,False,False,23185.0,23185,0.449,0.0224
releasesUniform,processingLowVariance,22,False,False,25248.0,25248,0.0521,0.0201
releasesUniform,processingLowVariance,23,False,False,27249.0,27249,0.1087,0.0281
releasesUniform,processingLowVariance,24,False,False,29967.0,29967,47.4488,0.0489
releasesUniform,processingLowVariance,25,False,False,32398.0,32398,0.1047,0.0346
releasesUniform,processingLowVariance,26,False,False,34990.0,34990,0.2539,0.0367
releasesUniform,processingLowVariance,27,False,False,37605.0,37605,0.1554,0.032
releasesUniform,processingLowVariance,28,False,False,40536.0,40534,1.8597,0.0366
releasesUniform,processingLowVariance,29,True,False,43068.0,43068,60.0,0.0328
releasesUniform,processingLowVariance,3,False,False,622.0,622,0.0009,0.0006
releasesUniform,processingLowVariance,30,False,False,45950.0,45950,2.5855,0.042
releasesUniform,processingLowVariance,4,False,True,1148.0,inf,0.0092,60.0
releasesUniform,processingLowVariance,5,False,False,1504.0,1504,0.0039,0.0013
releasesUniform,processingLowVariance,6,False,False,2098.0,2098,0.0192,0.0021
releasesUniform,processingLowVariance,7,False,False,3280.0,3280,0.0059,0.002
releasesUniform,processingLowVariance,8,False,False,3867.0,3867,0.0069,0.0021
releasesUniform,processingLowVariance,9,False,False,4481.0,4481,0.0316,0.002
